Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
16343-MAH,Male,44,No,Maharashtra,3,5,"Deal 4",Yes,No,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Mailed Check",69.85,837.5,0,0,324.84,1162.34,Stayed,Others,Others
16346-HAR,Female,74,Yes,Haryana,2,18,"Deal 5",Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",44.7,93.7,0,0,82.86,176.56,Churned,Competitor,"Competitor offered more data"
16364-TEL,Female,35,No,Telangana,2,12,"Deal 3",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Bank Withdrawal",20.45,790,0,0,1419.21,2209.21,Stayed,Others,Others
16366-KAR,Male,48,Yes,Karnataka,6,18,None,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",55,1165.55,0,0,0,1165.55,Stayed,Others,Others
16420-AND,Female,77,No,"Andhra Pradesh",13,12,None,Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,No,"Bank Withdrawal",117.45,5438.9,0,0,2065.92,7504.82,Churned,Competitor,"Competitor offered more data"
16440-MAH,Male,40,Yes,Maharashtra,0,36,"Deal 5",No,No,Yes,DSL,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",35.1,68.75,0,10,0,78.75,Churned,Attitude,"Attitude of support person"
16444-BIH,Female,24,Yes,Bihar,10,4,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Credit Card",-2,140.7,0,0,72.12,212.82,Churned,Dissatisfaction,"Service dissatisfaction"
16462-TAM,Male,36,Yes,"Tamil Nadu",13,10,"Deal 3",Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",84.75,2839.45,0,0,309.06,3148.51,Stayed,Others,Others
16504-HAR,Male,49,Yes,Haryana,12,27,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",69.15,69.15,0,0,2.2,71.35,Churned,Competitor,"Competitor offered more data"
16522-JAM,Male,80,Yes,"Jammu & Kashmir",2,12,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",99.45,1200.15,0,0,262.68,1462.83,Churned,Competitor,"Competitor made better offer"
16528-PUN,Male,29,No,Punjab,12,34,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",98.1,396.3,0,0,22.52,418.82,Churned,Competitor,"Competitor made better offer"
16541-UTT,Female,58,No,"Uttar Pradesh",4,35,None,Yes,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",68.3,4378.8,0,0,1490.56,5869.36,Stayed,Others,Others
16549-TEL,Female,44,Yes,Telangana,7,25,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",84.1,1737.45,0,0,1030.05,2767.5,Stayed,Others,Others
16554-RAJ,Female,64,No,Rajasthan,2,15,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",75.2,633.85,0,0,83.43,717.28,Stayed,Others,Others
16556-GUJ,Female,52,No,Gujarat,9,32,None,No,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",30.6,856.35,0,0,0,856.35,Churned,Dissatisfaction,"Product dissatisfaction"
16560-MAH,Female,81,Yes,Maharashtra,12,3,None,Yes,No,Yes,"Fiber Optic",Yes,No,No,No,No,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",83.45,3147.15,24.98,0,129.96,3252.13,Stayed,Others,Others
16562-UTT,Female,72,Yes,"Uttar Pradesh",10,19,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",98.7,5812.6,0,0,184.44,5997.04,Churned,Competitor,"Competitor had better devices"
16583-GUJ,Female,46,Yes,Gujarat,2,5,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Credit Card",20.85,1071.6,0,0,2052.96,3124.56,Stayed,Others,Others
16591-JAM,Female,56,No,"Jammu & Kashmir",10,11,"Deal 3",Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",80.3,3058.65,0,0,1601.32,4659.97,Churned,Other,"Don't know"
16623-WES,Female,55,Yes,"West Bengal",13,24,"Deal 2",Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Mailed Check",24.7,1642.75,0,0,257.92,1900.67,Stayed,Others,Others
16633-UTT,Female,48,Yes,Uttarakhand,13,3,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",22.95,1014.25,0,0,585.9,1600.15,Stayed,Others,Others
16641-PUN,Female,26,No,Punjab,3,22,None,No,No,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",44.85,893.55,0,0,0,893.55,Churned,Competitor,"Competitor offered higher download speeds"
16702-JAM,Female,47,Yes,"Jammu & Kashmir",3,28,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,"Credit Card",89.7,4952.95,41.66,0,212.24,5123.53,Stayed,Others,Others
16708-AND,Female,44,No,"Andhra Pradesh",11,22,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.6,397,0,0,579.6,976.6,Stayed,Others,Others
16741-UTT,Female,34,Yes,"Uttar Pradesh",15,4,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Credit Card",75.45,480.75,0,0,126.7,607.45,Churned,Competitor,"Competitor had better devices"
16745-UTT,Male,22,No,"Uttar Pradesh",13,6,"Deal 2",Yes,No,Yes,"Fiber Optic",Yes,No,Yes,No,No,No,Yes,Yes,"One Year",Yes,"Credit Card",81.15,5224.5,0,0,2174.13,7398.63,Stayed,Others,Others
16754-MAH,Male,39,No,Maharashtra,4,2,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.9,550.1,0,0,64.8,614.9,Stayed,Others,Others
16774-MAH,Male,38,No,Maharashtra,7,8,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",80.45,2429.1,0,0,1149.17,3578.27,Stayed,Others,Others
16782-CHH,Male,44,Yes,Chhattisgarh,14,1,"Deal 1",Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Two Year",No,"Bank Withdrawal",92,6474.4,0,110,3116.88,9701.28,Stayed,Others,Others
16784-HAR,Female,50,Yes,Haryana,6,16,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",89.15,1057.55,0,70,416.76,1544.31,Stayed,Others,Others
16790-RAJ,Female,60,Yes,Rajasthan,14,2,None,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"One Year",Yes,"Credit Card",55.35,1636.95,0,0,0,1636.95,Stayed,Others,Others
16794-TEL,Male,47,No,Telangana,9,3,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Mailed Check",19.7,19.7,0,0,1.91,21.61,Churned,Attitude,"Attitude of service provider"
16805-UTT,Male,54,No,"Uttar Pradesh",9,8,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",108.1,5067.45,0,0,475.68,5543.13,Stayed,Others,Others
16806-RAJ,Female,25,No,Rajasthan,7,2,"Deal 1",No,No,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Two Year",No,"Credit Card",55.65,3880.05,0,0,0,3880.05,Stayed,Others,Others
16820-UTT,Male,56,No,"Uttar Pradesh",7,32,"Deal 3",No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",59.55,2016.3,0,0,0,2016.3,Stayed,Others,Others
16837-UTT,Female,43,Yes,"Uttar Pradesh",15,18,"Deal 4",No,No,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,"Credit Card",35.5,552.7,0,80,0,632.7,Stayed,Others,Others
16839-WES,Female,36,Yes,"West Bengal",13,8,"Deal 2",Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,No,"Credit Card",65,3363.8,0,0,111.83,3475.63,Stayed,Others,Others
16874-UTT,Female,49,Yes,"Uttar Pradesh",8,6,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",21,1210.3,0,0,2118.05,3328.35,Stayed,Others,Others
16898-UTT,Male,63,Yes,"Uttar Pradesh",6,2,"Deal 4",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",80.35,1747.2,0,0,281.19,2028.39,Stayed,Others,Others
16916-AND,Female,70,Yes,"Andhra Pradesh",8,18,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",85.25,3132.75,0,0,883.44,4016.19,Churned,Dissatisfaction,"Product dissatisfaction"
16921-RAJ,Female,24,No,Rajasthan,0,8,"Deal 1",Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",78.35,5445.95,0,0,2513,7958.95,Stayed,Others,Others
16932-HAR,Female,18,No,Haryana,15,5,"Deal 1",Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",91.95,6614.9,0,0,1951.2,8566.1,Stayed,Others,Others
16936-GUJ,Female,29,No,Gujarat,4,28,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",20,137.6,0,0,112.28,249.88,Churned,Attitude,"Attitude of support person"
16940-TAM,Male,59,Yes,"Tamil Nadu",11,3,None,Yes,No,Yes,"Fiber Optic",No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",74.65,383.65,0,0,164.05,547.7,Stayed,Others,Others
16945-AND,Male,73,No,"Andhra Pradesh",5,34,"Deal 5",No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",25.05,25.05,0,0,0,25.05,Churned,Competitor,"Competitor had better devices"
17000-ODI,Female,70,Yes,Odisha,2,11,None,Yes,No,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",95.3,5567.45,0,0,1610.25,7177.7,Stayed,Others,Others
17002-UTT,Male,51,No,"Uttar Pradesh",10,34,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",95.65,778.1,0,0,237.28,1015.38,Churned,Attitude,"Attitude of support person"
17032-UTT,Female,60,Yes,"Uttar Pradesh",6,1,"Deal 2",Yes,No,Yes,"Fiber Optic",No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",98.7,5669.5,0,0,392,6061.5,Stayed,Others,Others
17050-MAH,Female,72,Yes,Maharashtra,9,29,"Deal 3",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",100.4,3217.65,0,0,1574.72,4792.37,Stayed,Others,Others
17052-MAD,Male,63,Yes,"Madhya Pradesh",3,18,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.85,1049.6,0,0,996.93,2046.53,Stayed,Others,Others
17059-RAJ,Female,49,Yes,Rajasthan,9,32,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Credit Card",19.25,864.2,0,0,1119.18,1983.38,Stayed,Others,Others
17060-JAM,Female,80,No,"Jammu & Kashmir",5,8,None,No,No,Yes,Cable,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",-10,840.1,0,0,0,840.1,Churned,Competitor,"Competitor made better offer"
17065-PUN,Female,52,Yes,Punjab,1,27,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,No,No,No,No,"One Year",No,"Credit Card",86.45,5762.95,0,150,663.68,6576.63,Stayed,Others,Others
17092-DEL,Female,78,Yes,Delhi,14,10,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Two Year",Yes,"Credit Card",115.75,8399.15,0,110,2216.16,10725.31,Stayed,Others,Others
17096-GUJ,Female,49,No,Gujarat,8,1,"Deal 1",Yes,No,Yes,"Fiber Optic",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",105.5,7611.55,0,0,1962,9573.55,Stayed,Others,Others
17111-MAH,Female,44,Yes,Maharashtra,7,16,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Credit Card",20.7,83.75,0,0,108.16,191.91,Stayed,Others,Others
17127-GUJ,Female,20,No,Gujarat,15,2,"Deal 3",Yes,No,Yes,"Fiber Optic",Yes,No,Yes,Yes,No,No,No,No,"One Year",Yes,"Credit Card",87.15,2274.1,0,20,1172.34,3466.44,Stayed,Others,Others
17149-GUJ,Male,70,Yes,Gujarat,0,16,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.5,477.7,0,0,228.6,706.3,Churned,Attitude,"Attitude of support person"
17154-MAH,Female,46,Yes,Maharashtra,2,11,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",24.7,1810.55,0,0,1383.79,3194.34,Stayed,Others,Others
17155-UTT,Female,26,No,"Uttar Pradesh",15,11,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",24.35,1133.7,0,0,656.16,1789.86,Stayed,Others,Others
17163-JAM,Female,72,Yes,"Jammu & Kashmir",6,16,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",45.05,770.6,0,0,695.81,1466.41,Churned,Competitor,"Competitor made better offer"
17180-UTT,Female,25,Yes,"Uttar Pradesh",3,9,"Deal 2",No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,"Credit Card",45.55,2108.35,0,0,0,2108.35,Stayed,Others,Others
17197-WES,Male,38,No,"West Bengal",13,5,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",90.55,2282.55,0,0,862.32,3144.87,Churned,Other,"Don't know"
17217-MAD,Female,53,No,"Madhya Pradesh",14,30,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Credit Card",19.5,225.85,0,0,157.1,382.95,Stayed,Others,Others
17233-AND,Male,52,No,"Andhra Pradesh",6,23,"Deal 1",Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",84.3,5997.1,0,0,2090.16,8087.26,Stayed,Others,Others
17235-AND,Female,44,Yes,"Andhra Pradesh",13,11,None,Yes,No,Yes,DSL,No,Yes,No,Yes,No,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",66.5,2728.6,0,0,1312.82,4041.42,Churned,Other,Moved
17283-KAR,Female,43,No,Karnataka,3,16,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",45,524.35,0,0,433.32,957.67,Stayed,Others,Others
17308-HAR,Female,59,No,Haryana,10,12,None,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",54.75,1510.3,0,0,977.13,2487.43,Stayed,Others,Others
17309-HAR,Male,53,Yes,Haryana,8,25,"Deal 3",Yes,Yes,Yes,DSL,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,"Credit Card",55.55,1405.3,0,0,290,1695.3,Stayed,Others,Others
17341-TAM,Female,56,No,"Tamil Nadu",9,9,None,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",86.1,5215.25,0,0,2678.4,7893.65,Stayed,Others,Others
17347-UTT,Female,79,No,"Uttar Pradesh",12,36,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",114.85,8317.95,0,0,2067.84,10385.79,Stayed,Others,Others
17357-UTT,Female,18,No,"Uttar Pradesh",15,5,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.2,777.3,0,0,310.64,1087.94,Churned,Competitor,"Competitor had better devices"
17371-TAM,Female,55,Yes,"Tamil Nadu",10,6,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",108.55,5610.7,0,0,1471.5,7082.2,Churned,Other,Moved
17374-MAH,Male,33,Yes,Maharashtra,6,12,"Deal 2",Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",84.95,4984.85,0,0,2997.6,7982.45,Stayed,Others,Others
17398-GUJ,Male,55,Yes,Gujarat,6,2,None,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,"One Year",Yes,"Credit Card",54.65,3134.7,0,0,531.24,3665.94,Stayed,Others,Others
17437-PUN,Male,67,Yes,Punjab,13,14,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",99,4744.35,0,0,281.76,5026.11,Stayed,Others,Others
17476-JAM,Male,56,No,"Jammu & Kashmir",3,10,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.35,1099.6,14.22,0,1571.17,2656.55,Churned,Price,"Price too high"
17481-MAD,Female,82,No,"Madhya Pradesh",3,22,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",89.35,567.8,0,0,48.36,616.16,Stayed,Others,Others
17488-PUN,Female,34,No,Punjab,3,5,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",75.65,302.35,0,0,94,396.35,Stayed,Others,Others
17488-RAJ,Male,33,Yes,Rajasthan,6,1,None,Yes,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,"One Year",No,"Credit Card",63.7,2763.35,0,0,1887.9,4651.25,Stayed,Others,Others
17493-RAJ,Female,47,No,Rajasthan,0,5,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",104.4,3409.6,0,0,373.56,3783.16,Churned,Dissatisfaction,"Service dissatisfaction"
17494-BIH,Female,44,No,Bihar,3,20,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,Yes,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",90.55,6130.95,0,0,773.52,6904.47,Stayed,Others,Others
17539-ASS,Male,34,No,Assam,15,3,None,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",44.45,2181.55,0,0,0,2181.55,Stayed,Others,Others
17570-GUJ,Male,56,No,Gujarat,8,4,None,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,No,"One Year",No,"Credit Card",-8,795.15,0,100,387.52,1282.67,Stayed,Others,Others
17577-BIH,Female,36,Yes,Bihar,15,9,"Deal 3",Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,"One Year",No,"Credit Card",55,1885.15,0,0,1467.78,3352.93,Stayed,Others,Others
17584-MAH,Male,37,No,Maharashtra,15,5,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",100.6,5069.65,0,0,929.53,5999.18,Churned,Competitor,"Competitor offered more data"
17593-UTT,Male,51,Yes,"Uttar Pradesh",12,23,"Deal 3",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Credit Card",75.35,2636.05,0,0,876.4,3512.45,Churned,Dissatisfaction,"Poor expertise of online support"
17609-MAD,Female,42,Yes,"Madhya Pradesh",8,22,None,Yes,No,Yes,"Fiber Optic",No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",85.6,1601.5,0,0,504.72,2106.22,Stayed,Others,Others
17661-PUN,Female,19,No,Punjab,2,11,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,Yes,No,No,No,Yes,No,Month-to-Month,No,"Mailed Check",74.65,544.55,0,10,151.06,705.61,Churned,Competitor,"Competitor offered more data"
17664-KAR,Female,30,No,Karnataka,13,22,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.7,1558.7,0,0,599.34,2158.04,Stayed,Others,Others
17664-UTT,Female,53,No,"Uttar Pradesh",8,33,"Deal 2",Yes,Yes,Yes,Cable,Yes,No,Yes,No,Yes,Yes,Yes,No,"One Year",Yes,"Credit Card",78.75,3682.45,0,40,121.44,3843.89,Stayed,Others,Others
17682-PUN,Female,32,No,Punjab,10,2,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",20.15,91.4,0,0,183.36,274.76,Stayed,Others,Others
17689-AND,Male,57,No,"Andhra Pradesh",9,13,"Deal 5",Yes,No,Yes,DSL,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",59.5,415.95,0,0,15.68,431.63,Churned,Other,Moved
17695-PUN,Female,75,Yes,Punjab,12,19,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",102.9,6989.7,0,0,3261.56,10251.26,Stayed,Others,Others
17707-PUD,Female,49,Yes,Puducherry,10,24,"Deal 1",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Bank Withdrawal",19.35,1292.65,0,0,3169.48,4462.13,Stayed,Others,Others
17723-MAH,Female,42,No,Maharashtra,15,9,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",81.85,3141.7,0,0,48.26,3189.96,Stayed,Others,Others
17735-MAD,Female,51,No,"Madhya Pradesh",1,25,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",80.8,4860.85,17.17,0,2652.28,7495.96,Stayed,Others,Others
17736-HAR,Female,69,No,Haryana,7,4,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,No,"One Year",Yes,"Bank Withdrawal",105.9,7521.95,6.65,100,1818.31,9433.61,Stayed,Others,Others
17783-TAM,Female,74,No,"Tamil Nadu",0,32,"Deal 5",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",85.55,187.45,0,0,10.98,198.43,Churned,Dissatisfaction,"Network reliability"
17799-UTT,Male,21,No,"Uttar Pradesh",10,10,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",100.55,7113.75,16.99,0,2012.14,9108.9,Stayed,Others,Others
17814-TAM,Female,28,Yes,"Tamil Nadu",8,14,None,Yes,Yes,Yes,"Fiber Optic",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",110.05,5686.4,20.28,0,1363.23,7029.35,Stayed,Others,Others
17816-ODI,Male,23,No,Odisha,2,10,None,Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Yes,Yes,"One Year",Yes,"Credit Card",70.15,4480.7,0,0,2107.52,6588.22,Stayed,Others,Others
17838-WES,Female,54,Yes,"West Bengal",5,32,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",108.65,4903.2,0,0,1725,6628.2,Stayed,Others,Others
17841-MAH,Female,28,No,Maharashtra,6,30,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",95.5,3418.2,0,0,1596.7,5014.9,Stayed,Others,Others
17845-TEL,Female,79,No,Telangana,8,12,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",69.55,69.55,0,0,12.46,82.01,Churned,Dissatisfaction,"Network reliability"
17846-MAD,Female,64,Yes,"Madhya Pradesh",2,34,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,No,Yes,No,Yes,"Two Year",Yes,"Credit Card",90.5,2595.85,0,0,121.2,2717.05,Stayed,Others,Others
17866-HAR,Female,60,Yes,Haryana,5,35,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",86.5,582.5,0,20,158.27,760.77,Churned,Competitor,"Competitor offered higher download speeds"
17891-AND,Male,30,Yes,"Andhra Pradesh",15,9,None,Yes,Yes,Yes,DSL,No,No,No,Yes,No,No,No,Yes,"One Year",Yes,"Credit Card",55.1,1466.1,0,0,1177.5,2643.6,Stayed,Others,Others
17893-TAM,Male,67,No,"Tamil Nadu",13,16,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",81.25,585.95,0,0,40.16,626.11,Churned,Price,"Price too high"
17901-TEL,Female,75,Yes,Telangana,7,26,"Deal 5",No,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",28.45,131.05,0,0,0,131.05,Churned,Dissatisfaction,"Limited range of services"
